胶原性结肠炎,collagenous colitis
化学性结肠炎,chemical colitis
牙龈纤维瘤病,gingival fibromatosis
肛管直肠狭窄,anorectal stricture
胆总管囊肿,choledochal cyst
胆管疾病,bile duct disease
口腔粘膜下纤维化,oral submucous fibrosis
坏死性涎腺化生,necrotizing sialometaplasia
肠脂肪肉芽肿症,Whipple disease,惠普尔病
淋巴细胞性胃炎,lymphocytic gastritis
原发性胆汁性肝硬变,primary biliary cirrhosis
肠假性梗阻,intestinal pseudo-obstruction
药物诱发性肝炎,drug-induced hepatitis
大肠机能障碍,bowel dysfunction
慢性十二指肠梗阻,chronic duodenal ileus
口灼伤综合征,burning mouth syndrome
嗜酸细胞增多性食管炎,eosinophilic esophagitis
胆囊闭塞,occlusion of gallbladder
改道性结肠炎,diversion colitis
牙髓钙化,dental pulp calcification
唾液腺病,salivary gland disease
无结石胆囊炎,acalculous cholecystitis
唾液腺良性淋巴上皮性病损,benign lymphoepithelial lesion of salivary gland
Wilson病,Wilson disease
胃憩室,stomach diverticulosis
原虫痢疾,protozoal dysentery
胃空肠[吻合口]溃疡,gastrojejunal ulcer
消化性溃疡病,peptic ulcer disease
唾液腺粘液囊肿,mucocele of salivary gland
氟斑牙,dental fluorosis,氟牙症,牙氟中毒
坏死溃疡性牙龈炎,necrotizing ulcerative gingivitis
消化性溃疡穿孔,peptic ulcer perforation
胆汁返流,bile reflux
淋巴细胞性结肠炎,lymphocytic colitis
渗透性腹泻,osmotic diarrhea
肝硬变,liver cirrhosis,肝硬化
胃切除术后综合征,postgastrectomy syndrome
梅-罗综合征,Melkersson-Rosenthal syndrome
白喉性腹膜炎,diphtheritic peritonitis
化脓性尖周炎,suppurative periapical periodontitis
十二指肠胃反流,duodenogastric reflux,十二指肠胃返流
牙关节强硬,tooth ankylosis,牙糟粘连
口腔毛状白斑,oral hairy leukoplakia
黄色肉芽肿性胆囊炎,xanthogranulomatous cholecystitis
炎性肠病,inflammatory bowel disease
上行性胆管炎,ascending cholangitis
肠子宫内膜异位,endometriosis of intestine
牙髓坏死,dental pulp necrosis
围生期肠穿孔,perinatal intestinal perforation
口腔白色水肿,oral leukoedema
卡罗利病,Caroli disease,卡洛里病
蛋白丢失性肠病,protein-losing enteropathy
嗜酸细胞性胃炎,eosinophilic gastritis,嗜酸性胃炎
食管憩室病,esophageal diverticulosis
牙疾病,tooth disease
结肠假性梗阻,colonic pseudo-obstruction
Alagille综合征,Alagille syndrome
镜下结肠炎,microscopic colitis,微观结肠炎
难辨梭菌结肠炎,Clostridium difficile colitis
病毒性食管炎,viral esophagitis
Cronkhite-Canada综合征,Cronkhite-Canada syndrome
热带性口炎性腹泻,tropical sprue
神经元性肠道发育不良,neuronal intestinal dysplasia
Papillon-Lefevre病,Papillon-Lefevre disease
肝肺综合征,hepatopulmonary syndrome
牙本质过敏,dentin sensitivity
牙龈生长过度,gingival overgrowth
侵袭性牙周炎,aggressive periodontitis
义齿性口炎,denture stomatitis
牙腐蚀,tooth erosion
peutz-jeghers综合征,Peutz-Jeghers syndrome,波伊茨-耶格综合征
直肠脱垂,rectal prolapse
肠道传染病,intestinal infectious disease
颌下腺疾病,submandibular gland disease
脂肪泻,steatorrhea,皮脂溢,脂肪痢
十二指肠疾病,duodenal disease
肠血管发育不良,angiodysplasia of intestine
EB病毒性肝炎,Epstein-Barr virus hepatitis
腮腺炎,parotitis
盲肠疾病,cecal disease
真菌性食管炎,fungal esophagitis
直肠疾病,rectal disease
围产期坏死性小肠结肠炎,perinatal necrotizing enterocolitis
病毒性胃炎,viral gastritis
功能性结肠疾病,functional colonic disease
牙折裂,odontoclasia
神经源性肠道,neurogenic bowel
腮腺疾病,parotid disease
牙髓疾病,dental pulp disease
细菌性食道炎,bacterial esophagitis
结肠疾病,colonic disease
胆总管疾病,common bile duct disease
乙状结肠疾病,sigmoid disease
回肠结肠炎,ileocolitis,回结肠炎
分泌性腹泻,secretory diarrhea
肠炎性腹泻,inflammatory diarrhea,炎性腹泻,(肠)炎性腹泻
急性腹泻,acute diarrhea
结肠炎,colitis
